82,Metro Manila,Manila (Regional center),--,NCR,"1,18,55,975",--,638.55,--,18567,--
1,Abra,Bangued,"Mar 10, 1917",CAR,"2,34,733",68,"4,165.25",31,56.4,80
2,Agusan del Norte,Cabadbaran,"Jun 17, 1967",Region XIII,"6,42,196",47,"3,546.86",40,181.1,51
3,Agusan del Sur,Prosperidad,"Jun 17, 1967",Region XIII,"6,56,418",46,"9,989.52",4,65.7,76
4,Aklan,Kalibo,"Apr 25, 1956",Region VI,"5,35,725",55,"1,821.42",64,294.1,26
5,Albay,Legazpi,"Mar 10, 1917",Region V,"12,33,432",24,"2,575.77",54,478.9,11
6,Antique,San Jose de Buenavista,"Mar 10, 1917",Region VI,"5,46,031",53,"2,729.17",50,200.1,46
7,Apayao,Kabugao,"Feb 14, 1995",CAR,"1,12,636",78,"4,413.35",29,25.5,81
8,Aurora,Baler,"Aug 13, 1979",Region III,"2,01,233",71,"3,147.32",45,63.9,77
9,Basilan,Isabela,"Dec 27, 1973",ARMM,"3,91,179",63,"1,379.02",71,283.7,27
10,Bataan,Balanga,1754,Region III,"6,87,482",43,"1,372.98",72,500.7,9
11,Batanes,Basco,1909,Region II,"16,604",81,219.01,81,75.8,73
12,Batangas,Batangas City,"Dec 8, 1581",Region IV-A,"23,77,395",8,"3,119.72",46,762.1,7
13,Benguet,La Trinidad,"Jun 16, 1966",CAR,"7,22,620",40,"2,826.59",48,255.7,35
14,Biliran,Naval,"May 11, 1992",Region VIII,"1,61,760",75,536.01,78,301.8,24
15,Bohol,Tagbilaran,"Mar 25, 1565",Region VII,"12,55,128",23,"4,820.95",24,260.3,34
16,Bukidnon,Malaybalay,"Mar 10, 1917",Region X,"12,99,192",20,"10,498.59",3,123.7,62
17,Bulacan,Malolos,"Aug 15, 1578",Region III,"29,24,433",3,"2,796.10",49,1045.9,5
18,Cagayan,Tuguegarao,1581,Region II,"11,24,773",27,"9,295.75",5,121,65
19,Camarines Norte,Daet,"Mar 10, 1917",Region V,"5,42,915",54,"2,320.07",56,234,40
20,Camarines Sur,Pili,"Mar 10, 1917",Region V,"18,22,371",14,"5,497.03",17,331.5,22
21,Camiguin,Mambajao,"Jun 18, 1966",Region X,"83,807",80,237.95,80,352.2,18
22,Capiz,Roxas,"Mar 10, 1917",Region VI,"7,19,685",41,"2,594.64",53,277.4,28
23,Catanduanes,Virac,"Sep 26, 1945",Region V,"2,46,300",67,"1,492.16",70,165.1,52
24,Cavite,Imus,"Mar 10, 1872",Region IV-A,"30,90,691",2,"1,574.17",67,1963.4,2
25,Cebu,Cebu City,"Apr 27, 1565",Region VII,"41,67,320",1,"5,342.00",20,780.1,6
26,Compostela Valley,Nabunturan,"Jan 31, 1998",Region XI,"6,87,195",44,"4,479.77",27,153.4,56
27,Cotabato,Kidapawan,"May 8, 1967",Region XII,"12,26,508",25,"9,008.90",7,136.1,59
28,Davao del Norte,Tagum,"May 8, 1967",Region XI,"9,45,764",30,"3,426.97",43,276,30
29,Davao del Sur,Digos,"May 8, 1967",Region XI,"20,24,206",11,"4,607.59",26,439.3,13
30,Davao Occidental,Malita,"Oct 28, 2013",Region XI,"2,93,780",65,"2,163.45",57,135.8,60
31,Davao Oriental,Mati,"May 8, 1967",Region XI,"5,17,618",56,"5,679.64",16,91.1,70
32,Dinagat Islands,San Jose,"Dec 2, 2006",Region XIII,"1,26,803",77,"1,036.34",75,122.4,63
33,Eastern Samar,Borongan,"Jun 19, 1965",Region VIII,"4,28,877",60,"4,660.47",25,92,69
34,Guimaras,Jordan,"May 22, 1992",Region VI,"1,62,943",74,604.57,77,269.5,33
35,Ifugao,Lagawe,"Jun 18, 1966",CAR,"1,91,078",72,"2,628.21",51,72.7,74
36,Ilocos Norte,Laoag,1818,Region I,"5,68,017",50,"3,467.89",42,163.8,53
37,Ilocos Sur,Vigan,1572,Region I,"6,58,587",45,"2,596.00",52,253.7,36
38,Iloilo,Iloilo City,1566,Region VI,"22,30,195",10,"5,079.17",22,439.1,14
39,Isabela,Ilagan,"May 1, 1856",Region II,"14,89,645",17,"12,414.93",2,120,66
40,Kalinga,Tabuk,"Feb 14, 1995",CAR,"2,01,613",70,"3,231.25",44,62.4,78
41,La Union,San Fernando,"Mar 2, 1850",Region I,"7,41,906",37,"1,497.70",69,495.4,10
42,Laguna,Santa Cruz,"Jul 28, 1571",Region IV-A,"26,69,847",6,"1,917.85",63,1392.1,3
43,Lanao del Norte,Tubod,"Jul 4, 1959",Region X,"9,30,738",32,"4,159.94",32,223.7,42
44,Lanao del Sur,Marawi,"Jul 4, 1959",ARMM,"9,33,260",31,"3,872.89",35,241,37
45,Leyte,Tacloban,"Mar 10, 1917",Region VIII,"17,89,158",15,"6,515.05",10,274.6,31
46,Maguindanao,Shariff Aguak,"Nov 22, 1973",ARMM,"12,16,504",26,"6,146.53",11,197.9,47
47,Marinduque,Boac,"Feb 21, 1920",Region IV-B,"2,27,828",69,952.58,76,239.2,38
48,Masbate,Masbate City,"Mar 10, 1917",Region V,"8,34,650",33,"4,151.78",33,201,45
49,Misamis Occidental,Oroquieta,"Nov 8, 1929",Region X,"5,67,642",51,"2,055.22",61,276.2,29
50,Misamis Oriental,Cagayan de Oro,"Nov 8, 1929",Region X,"14,15,944",18,"3,544.32",41,399.5,16
51,Mountain Province,Bontoc,1908,CAR,"1,54,187",76,"2,157.38",58,71.5,75
